,Provider_Number,Hospital_Name,Address,City,State,ZIP_Code,County_Name,Hours physical restraint rate per 1000,Hours physical restraint,Total inpatient hours,Hours seclusion rate per 1000,Hours seclusion,Total inpatient hours,Discharged 2+ meds %,Discharged 2+ meds with justification,Discharged 2+ meds total,Post discharge continuing care plan %,Post discharge continuing care plan created,Total discharge patients,Continuing care plan sent to next provider %,Continuing care plan sent to next provider,Total continuing care plans,Alcohol Screen Complete %,Alcohol Screen Numerator,Alcohol Screen Denominator,TOB-1_%,TOB-1_Numerator,TOB-1_Denominator,Tobacco Use Screen %,TOB-2_Numerator,TOB-2/-2a_Denominator,TOB-2a_%,TOB-2a_Numerator,TOB-2/-2a__Denominator,PEoC_Assessed_Response,EHR Use,HIE_Response,Start_Date,End_Date,% Patients Follow Up Care within 30 days,FUH-30_Numerator,FUH-30_Denominator,% Patients Follow Up Care within 7 days for mental illness,FUH-7_Numerator,FUH-7_Denominator,FUH_Measure_Start_Date,FUH_Measure_End_Date,IMM-2_%,IMM-2_Numerator,IMM-2_Denominator,HCP_%,HCP_Numerator,HCP_Denominator,Flu_Season_Start_Date,Flu_Season_End_Date
0,10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN STREET PO BOX 1010,OPP,AL,36467,Covington,0.0,0.0,3513.0,0.0,0,3513,92.86,13,14,28.06%,71,253,91.70%,232,253,100.00%,253,253,96.44%,244,253,56.25%,36,64,43.75%,28,64,Yes,Certified EHR Technology,Yes,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,39.06%,50,128,54,15,28,10/01/2015,03/31/2016
1,10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE ,LUVERNE,AL,36049,Crenshaw,0.44,59.63,5611.0,0.07,10.08,5611,100.0,60,60,100.00%,176,176,100.00%,176,176,100.00%,176,176,100.00%,176,176,100.00%,176,176,100.00%,176,176,No,Paper or Other Form,No,01/01/2015,12/31/2015,46.15%,18,39,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,100.00%,88,88,34,15,44,10/01/2015,03/31/2016
2,10011,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE ,BIRMINGHAM,AL,35235,Jefferson,0.0,0.0,24771.0,0.0,0,24771,,Not Available,Not Available,93.70%,238,254,79.13%,201,254,0.00%,0,332,47.29%,157,332,0.00%,0,30,0.00%,0,30,No,Paper or Other Form,No,01/01/2015,12/31/2015,58.33%,21,36,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,67.50%,54,80,42,14,33,10/01/2015,03/31/2016
3,10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE ,FORT PAYNE,AL,35968,DeKalb,0.0,0.0,5832.0,0.0,0,5832,,Not Available,Not Available,100.00%,241,241,100.00%,241,241,98.78%,242,245,100.00%,245,245,95.56%,43,45,86.67%,39,45,No,Paper or Other Form,No,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,99.06%,105,106,100,54,54,10/01/2015,03/31/2016
4,10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH ,ALABASTER,AL,35007,Shelby,0.11,41.02,15507.0,0.03,9.75,15507,,Not Available,Not Available,84.45%,353,418,79.19%,331,418,95.42%,583,611,97.84%,589,602,62.46%,178,285,51.23%,146,285,Yes,Certified EHR Technology,Yes,01/01/2015,12/31/2015,47.06%,40,85,21.18%,18,85,07/01/2014,06/30/2015,100.00%,171,171,71,65,92,10/01/2015,03/31/2016
5,10021,DALE MEDICAL CENTER,126 HOSPITAL AVE ,OZARK,AL,36360,Dale,0.0,0.0,3039.0,0.0,0,3039,83.33,30,36,96.65%,202,209,96.65%,202,209,99.12%,224,226,87.79%,187,213,73.47%,36,49,Not Available,Not Available,Not Available,No,Certified EHR Technology,No,01/01/2015,12/31/2015,65.06%,54,83,40.96%,34,83,07/01/2014,06/30/2015,6.67%,15,225,97,33,34,10/01/2015,03/31/2016
6,10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD ,MONTGOMERY,AL,36116,Montgomery,0.06,20.64,13954.0,0.06,20.03,13954,64.91,37,57,84.43%,1432,1696,81.78%,1387,1696,97.80%,1289,1318,99.33%,1334,1343,71.27%,506,710,65.92%,468,710,No,Paper or Other Form,No,01/01/2015,12/31/2015,31.65%,44,139,15.83%,22,139,07/01/2014,06/30/2015,95.58%,864,904,83,308,373,10/01/2015,03/31/2016
7,10033,UNIVERSITY OF ALABAMA HOSPITAL,619  19TH STREET SOUTH ,BIRMINGHAM,AL,35249,Jefferson,0.63,441.63,29399.0,1.16,817.27,29399,81.25,13,16,14.39%,377,2620,7.82%,205,2620,97.07%,298,307,89.81%,185,206,56.57%,56,99,Not Available,Not Available,Not Available,Yes,Paper or Other Form,Yes,01/01/2015,12/31/2015,45.19%,61,135,19.26%,26,135,07/01/2014,06/30/2015,97.90%,140,143,42,107,254,10/01/2015,03/31/2016
8,10034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD ,TALLASSEE,AL,36078,Elmore,0.0,0.0,2299.0,0.0,0,2299,,Not Available,Not Available,27.04%,43,159,27.04%,43,159,85.53%,136,159,67.30%,107,159,0.00%,0,12,0.00%,0,12,Yes,Paper or Other Form,No,01/01/2015,12/31/2015,66.67%,12,18,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,0.00%,0,75,56,34,61,10/01/2015,03/31/2016
9,10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD ,HUNTSVILLE,AL,35801,Madison,0.0,0.0,6434.0,0.0,0,6434,66.67,12,18,92.78%,424,457,91.90%,420,457,98.03%,298,304,92.05%,278,302,86.61%,110,127,79.53%,101,127,No,Certified EHR Technology,Yes,01/01/2015,12/31/2015,44.44%,88,198,18.18%,36,198,07/01/2014,06/30/2015,96.90%,281,290,70,53,76,10/01/2015,03/31/2016
